clinic_id,clinic_name
2522,Southern Medical Clinic
2523,Boyette Orthopedics
2532,Rogers and Family and Occupational Health
2534,QHC PF Deming Hospital Corp
2536,"Codwell Family Foot Center, PA"
2537,In Your Best Interest Medical Clinic
2540,VALLEY UROGYNECOLOGY ASSOCIATES
2541,Arizona Gynecology Consultants
2543,"Pediatric Gastro of Richmond, PC"
2545,"SIERRA DOCTORS MEDICAL GROUP, INC."
2547,Premier Podiatry and Orthopedics
2554,National Park Physician Services
2561,Southern Family Medical Center
2562,"Potomac Surgical Specialists, LLC"
2563,Carolina Macula & Retina
2565,"Southern Spine Specialists, PLLC"
2570,CHS PF Emporia Hospital
2575,"CABRAL INTERNAL MEDICINE, PLLC"
2581,"GEORGE D. PETERSON, MD"
2585,Moore Center for Orthopedics
2586,North Central Ohio Family Care
2591,Frisco Womens Health
2594,Killeen Neurology
2595,Neighborhood Family Medical Care
2596,Concussion Care Specialists
2601,BRIDGEWATER PRIMARY CARE AND CARDIOLOGY
2606,Alvaro Dangond MD PA
2609,Founders Family Medicine
2610,"Colorado River Pain Management, LLC"
2613,Upper East Side Gynecology
2617,JOHN M TUMOLO MD
2618,Kingwood Neurology and Sleep
2625,Dr. VanDeven
2633,"TANASBOURNE PLASTIC SURGERY, PC"
2635,"Family Practice Associates of Taos,"
2636,"TAOS MEDICAL GROUP, PA"
2640,Best Practices Medical Clinic
2651,"Chattanooga Bone & Joint Surgeons, PC"
2655,Mt. Airy Pediatrics
2659,Gulf View Medical Institute
2667,"HEARTSOUTH, PLLC"
2675,"IMMACULATE MEDICAL SERVICES, LLC"
2678,"LEONARD D SALTZMAN MD,PA"
2681,Health Point Services
2683,Embrace Advanced Gynecology and Wellness
2686,"Judson E Rogers, MD"
2688,Friendswood Women OBGYN
2690,"METABOLIC LEADER, LLC"
2692,"Mary K. Oates, MD, INC."
2693,Mid Florida Orthopaedic Associates
2695,Valley Care Medical Group of Ohio
2697,"Southwest Kidney Institute, PLC"
2701,Gateway Medical Weight Loss Clinic
2706,Internal Medicine Physicians
2708,Royalty Nephrology Medical Group
2709,"Sierra Orthopedic Institute, Inc."
2721,"Terry L. Franklin, M.D."
2722,"Kerline Marcelin, MD"
2732,Sleep Medicine Specialists of California
2736,STETSON HILLS FAMILY MEDICINE
2737,Dr. Lauren Davis
2738,Gago Center for Fertility
2740,"Pierre Physician Group, PA"
2741,Dr. Mary Cox
2747,"UPTOWN OB/GYN OF NEW YORK, PC"
2750,Hall Medical
2754,Epic Cardiology
2755,PEDIATRIC PARTNERS KIDS
2758,"STEPHEN M. SINKOE, DPM, P.A."
2760,"Robert M. Westcott, MD"
2761,"AMJAD MEDICAL CLINIC, PLLC"
2763,TRMC Provider Network
2766,Dr. Surya Challa
2767,"James S. Amontree, MD PA"
2768,"JEROME H SIEGEL MDPC---FRANKLIN KASMIN, MD"
2771,"June R. Tunstall, MD, PC"
2776,"Leslee Ruszkowski, DPM"
2777,"TOMAS E. VIGO PAREDES, PLLC DBA VIGO FAMILY HEALTHCARE"
2778,Burton Wellness Injury Center
2780,Sunrise Obstetrics and Gynecology
2787,Dr. J. Nathan Rubin
2794,Internal Medicine Associates of Richland
2798,A Center For Womens Care
2800,New York Medical and Surgical Eye
2801,Churchland Family Medicine
2802,"Associates in Pediatric Care-Hampton, LLC"
2811,A Woman's View
2815,Family Practice After Hours Clinic
2816,Aklilu And Cobian Infect. Diseases
2819,Mazzoni Center
2829,"Jack Wesley Wallis, MD"
2833,The Medical Center at Ocean Reef
2843,Combs Family Practice
2845,BROADWAY FAMILY MEDICINE INC
2847,Family Care Associates of Montgomery County
2849,Ramberg Neurosurgery
2852,Sellersburg Internal Medicine
2853,Milestones Pediatric Care
2858,North Shore Internal Medicine
2859,WAYNESBORO WOMEN'S HEALTH
2864,ATHENA SMALL GROUPS
2867,"Crouch Family Medicine, P.C"
2869,Dr Marc Feingold
2881,DR MADHU AGARWAL
2894,Middleton Pediatrics
2896,"Jose I. Rodriguez, MD"
2907,"Advanced Health and WellBeing, PC"
2912,Winke Orthopedic Pain Management Ce
2913,Santa Fe OBGYN
2919,"INTERNAL MEDICINE PARTNERS, INC."
2921,"Commonwealth Internal Medicine, PC"
2922,"STUART MARTIN WEISMAN, M.D., INC.,"
2924,Dr. Laughlin & Dr. Markusen
2925,Tengson Medical Offices LLC
2936,Venetian Isle Medical OB/GYN
2938,Central West Healthcare
2939,Dr. Michael A. Castillo
2940,Advanced Kidney Care of North Texas
2941,"Psych Care Associates, PC"
2942,OXFORD URGENT CARE
2943,Tapson Family Practice
2945,DTC Family Health
2946,Austin Urology Institute
2948,Burlingame Family Health
2949,"Caring for Kids, PC"
2953,"FREDY CORDOVA, MD"
2956,Mogul Medical Urgent Care
2959,"FOUR PEAKS NEUROLOGY, PC"
2965,Internal Medicine & Pediatric Associates of Bristol
2975,"GENTLE CARE PEDIATRICS, LLC"
2976,BARBARA ANNE HESSEL MD
2977,"David J. Brown, MD PC"
2982,"Physicians of South Florida, LLC"
2983,Summit Health
2986,Champlain Valley Cardiovascular Associates
2990,"Barbara J. MacFarlane, MD"
3012,MERCED FACULTY ASSOCIATES
3013,"DR. PAUL DIEHL, MD, A MEDICAL CORPORATION"
3015,Fit for Life Medical Center
3019,Next Step Orthopedics
3024,Christus LASBHC
3025,"Arrow Surgical Associates, PC"
3029,"Total Women's Health & Wellness Center, Inc"
3031,Prime Medical Clinic
3038,Crestwood Physician Service
3039,"WOMEN'S INTERNAL MEDICINE, INC."
3041,"Hand Associates, PC"
3044,Family Practice Clinic of Boonevill
3046,"Intown Women's Health Associates, L"
3050,"Gynecology Associates, PLLC"
3063,Advanced Gastroenterology & Surgery Associates
3069,Howard K Horne MD
3072,"Tierney, Letitia"
3075,"Mali & Mali Pediatrics, P.C."
3077,Pineville Pediatrics
3082,Tristan Medical
3083,Sellwood Medical Clinic
3085,Brock Orthopedic Surgery & Services
3086,"Michael A. Mitchell, DO"
3088,Foot & Ankle Sport Center LLC
3094,Greater Boston Medical Associates
3095,"JAMIERE Y. SMITH, M.D., S.C."
3096,CENTRAL CALIFORNIA NEUROLOGY MEDICAL CORPORATION
3111,Scranton Clinic Company
3117,Marwan Iskandarani MD PA
3118,Pulmonary Specialties PC
3119,Healthy Steps
3123,Bayfront Physicians Associates
3126,Austin Primary Care
3127,Tri-State Bariatrics
3128,Coastal Southeastern Family Practice
3140,"Henry R. Paul, MD, PLLC"
3142,Heart Clinic of Hammond LLC
3144,Palm Coast OBGYN
3152,"LOUIS G FARES II, MD, F.A.C.S."
3157,"MELISSA KEMPF, MD, PLLC"
3158,"Roseville Surgical Alliance, Inc."
3162,Eye Centers of America
3164,Metro Chicago Surgical Oncology
3165,Dr Andrew Nullman
3167,Chesapeake Health Care
3170,"Dublin OBGYN Associates, PC"
3171,"Aspen Foot & Ankle, LLC"
3173,"Leggett Medical Group , Inc"
3178,"Teresa Longoria MD, PLC"
3182,"FERRELL & ALLISON, P.S.C."
3189,Fazeela H. Baqai MD
3196,Child Health of Madison County
3197,Dr. James Parkey
3203,"Eastside Medical Associates, P.C."
3211,"ALABAMA PULMONARY AND SLEEP SPECIALISTS, P.C."
3215,Arthritis and Osteoporosis Center
3219,EMERALD COAST RHEUMATOLOGY
3222,Family ENT Allergy and Asthma Center
3225,MAIN OFFICE
3226,SSI - Professional Services 2
3231,OC Physicians Network
3232,"David A. Thanhauser, MD"
3235,Clinical Neurology
3236,Southwest Eye Clinic
3238,"Valley Health Clinic, Inc."
3242,"Prima Heart, a Medical Group"
3253,"William Schubert, MD"
3254,JOSHUA MEDICAL GROUP
3256,Minor Emergency and Family Care Cen
3270,"Access Healthcare, LLC"
3272,"Adeela R Ahsan MD, Inc"
3274,Duson Family Healthcare
3276,Aethena Gynecology Associates
3282,PACIFIC RHEUMATOLOGY MEDICAL CENTER
3285,"MATTHEW D. GOLD, M.D"
3287,"Feagins Medical Group, PLLC"
3291,Lakeside Heart and Vascular Center
3296,Dr. Layne Kumetz
3297,"James P Taitsman MD, PA"
3299,Sullivan Medical Midtown
3301,Laura E Babe MD PLC
3302,Cookeville Gynecology
3305,"Nancy A. Magsino,MD, FACOG"
3306,The Pain Management Institute
3308,"Virginia Medical Acute Care, PC"
3309,"Richard P. Guerrant, MD"
3313,Fort Smith Medical Center
3315,JEFFREY B CHICK MD PC
3316,"Katz Orthopaedic Institute, LLC"
3319,T Robert Rhodin MD
3320,"Helen Rostamloo, MD"
3327,Mid Atlantic Group
3329,Interventional Spine and Pain Center
3330,East Coast Medical PLLC
3333,Peak ENT and Voice Center
